,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,扭扭快iuiniu,0,60,0,6741564351040732128
0,王勉 王勉,0,63,0,6742413461277877607
0,再发一条！,5,89,14,6714500965061826007
0,2,4,87,2,6714501013396721475
0,开始啦。。,0,89,3,6714501329001631518
0,前排,0,87,0,6714501456089038861
0,来了,0,89,0,6714501600510507040
0,哈哈 谁是冠军呢？,0,89,5,6714501756816441885
0,杨笠雪琴冲,5,88,26,6714501946260260286
0,汰,0,89,0,6714503083353117963
0,第一个第一个,5,85,18,6714503693800511803
0,好高啊,0,87,7,6714504331342150502
0,永远猜不到几点播出,0,89,3,6714504589095405672
0,来了罗永浩冲冲冲,0,89,1,6714505013752220216
0,期待明年的吐槽大会和脱口秀大会,0,88,30,6714504698340551824
0,[厉害]时长[厉害],0,88,4,6714505603693614911
0,剧透  王冕冠军,2,86,23,6714508771051642682
0,时长 感人,0,87,4,6714509927194804274
0,时长令人害怕,0,88,15,6714513256658440809
0,我最喜欢李雪琴,2,86,16,6714514657610237377
0,哈尔滨拥有姓名，来了😂,0,86,9,6714518498421799413
0,这麽看李诞是真高,0,87,4,6714522183991281327
0,这时长，可以啊，3个多小时！,0,85,7,6714523187091275121
0,得,0,85,1,6714524499196758987
0,时长感人😭,0,88,3,6714527708148694478
0,一猜就是蛋总,0,88,0,6714536748769277095
0,李雪琴冠军！！,0,88,1,6714537217144375916
0,哈哈,0,87,0,6714537373104356640
0,哈哈哈哈哈哈哈哈啊哈哈,0,86,8,6714546971451312814
0,杨笠居然穿我的衣服,0,89,0,6714557449036568518
0,我琴儿,0,86,0,6714659241166618733
0,。,0,87,0,6714681049856113453
0,哇三个半小时,0,86,0,6714688796295889798
0,老罗讲的太好了,0,87,0,6714691394595207404
0,不墨迹 直接开始,0,86,1,6714692099948129294
0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这开头,0,86,0,6714711651641397184
0,来了老弟,0,85,2,6714892259394338591
0, 什么呀,0,85,2,6716277244056544844
0,李雪琴、王建国在一起。,0,85,1,6719434121523211634
0,动力强劲，就是有点绿,0,88,0,6723796470375582224
0,更新啦,1,77,16,6714501132456234991
0,姐妹们冲,5,76,9,6714501900705233497
0,第一吼吼吼,0,77,7,6714501951021106081
0,我支持雪琴,2,78,45,6714502438938933284
0,来了老弟,0,79,14,6714503255617424725
0,哈尔滨拥有姓名，来了😂,0,78,21,6714503971950012266
0,李诞原来这么高,0,76,25,6714508441570964434
0,锃光瓦亮,1,75,14,6714532293386630692
0,哪个第一名,0,79,8,6714533184831779935
0,好舍不得啊这就要结束啦,0,77,6,6714550550726734434
0,刘琪刘琪，李飞去哪了,0,76,6,6714614820198926549
0,哈哈哈哈哈哈哈哈哈哈来了来了,0,77,4,6714667410982903091
0,666,0,75,0,6714677940158186182
0,哇三个半小时,0,75,4,6714680179756827959
0,李雪琴没前几期表现好，结束的太突然了，可惜了,0,78,14,6714681532336250296
0,w我们的爱，怒为什么在这里啊  你,0,76,5,6714738914432153882
0,快快快,0,78,3,6714752768970049655
0,四川雄起耶,0,78,0,6714788566079577305
0,已截图，呼兰小样,0,76,0,6714828569399803515
0,刘琪啊,0,77,1,6714853310186592773
0,脱口秀大会还没完，吐槽大会就开始了,0,78,0,6714869569979348638
0,这一场很有料 ,0,77,1,6715109039401321282
0,干嘛呢,0,76,0,6717471625715370097
0, 111,0,75,0,6717617522200821512
0,::,0,75,0,6718927216072752443
0,李🥚吧,0,78,0,6720894149056767344
0,我才是第一  你们都是弟弟,0,76,0,6721691987624866490
0,:::,0,75,0,6721823255125589733
0,蒙恩好高啊跟建国差不多！！！,0,77,0,6723629034984638203
0,呼兰可爱,0,76,0,6723950254669446871
0,王勉漂乐,0,75,0,6724244925485089045
0,哈哈,0,79,0,6729720618452976159
0,支持建国1,0,78,0,6733737525245409179
0,yyy,0,79,0,6735255746792059650
0,代言人迪丽热巴 :已截图，呼兰小样,0,79,0,6739279732652837099
0,啊,5,80,0,6714504837384912268
0,我琴儿,1,82,11,6714509014223846934
0,第一吼吼吼,4,80,10,6714509257456685843
0,李雪琴我爱你,1,84,22,6714511683457580257
0,VIP :一猜就是蛋总,6,83,32,6714524491888916984
0,这个是之前周六夜现场唱歌那个,0,83,11,6714524805892345384
0,代言人迪丽热巴 :脱口秀大会我爱你,6,81,32,6714537032741792408
0,好舍不得啊这就要结束啦,5,82,9,6714569251984232320
0,滕叔叔。还好哈哈哈,0,83,2,6714674415474775155
0,[加油]欧亚,0,80,1,6714716687004312309
0,李雪琴这件衣服我也有 哈哈哈哈,0,80,2,6714736589362670614
0,我丢，竟然第一眼看的像文章，刚才那个小伙子,0,81,9,6714760336344546585
0,都是VIP说话嚣张点、,0,80,0,6714763322613856007
0,哈哈哈哈哈,0,80,1,6714780416151322403
0,哈哈哈哈哈哈哈哈哈哈,0,82,9,6714786370814463065
0,乌漆嘛黑，锃光瓦亮,0,82,2,6714800348347953611
0,颁奖典礼才是真正的爆笑！！！！！胜过所有,0,81,8,6714853903202190470
0,好,0,84,0,6714865656299453048
0,怎么样才能让娃的头睡得像李诞的这么原呢,0,83,2,6714924601118832875
0,李诞原来这么高,0,80,0,6715055119584970030
0,分手来找快乐,0,83,3,6715109051518622246
0,我们,0,81,0,6716492747433822621
0,哈哈哈哈啊,0,84,3,6716723782342950363
0, 杨蒙恩这个样子好像撒贝宁啊！哈哈哈,0,84,3,6717432085868909194
0,[鸡腿]好,0,82,0,6720198517303293189
0,哈哈哈哈哈,0,84,0,6720674788157147661
0,为什么要有弹幕,0,83,0,6721365373560749608
0,笑死人,0,84,0,6721365510229306409
0,。。。,0,84,0,6722761367984730973
0,第一第一,0,80,0,6722785415214376155
0,GG,0,84,0,6723183812617108618
0,哈哈哈哈哈哈哈哈哈哈来了来了,0,83,0,6724156252957942687
0,开始了,6,71,7,6714501806496954359
0,脱口秀大会我爱你,1,70,28,6714501923779101552
0,第一,0,70,1,6714502739587961500
0,腾哥第一,3,74,14,6714502797758763764
0,喜欢腾讯的不准时,0,74,13,6714502800140169387
0,时长感人😭,2,72,17,6714503386748098332
0,都是VIP，说话嚣张点,0,71,15,6714503915754423161
0,湖人总冠军，冲,0,74,5,6714504194913662112
0,已截图，呼兰小样,0,70,12,6714505178483463190
0,时常爱了爱了,0,72,5,6714507630473318079
0,且看且珍惜，本季没剩几期啦,2,71,4,6714509578501297559
0,下载微视播放一个视频可领取一天腾讯视频VIP~~,0,74,5,6714517104293854447
0,第一第一，哈哈哈,0,74,3,6714520605511108729
0,时长好评,0,74,1,6714551493905066531
0,？？,0,70,1,6714560542696517186
0,来了，开始上头,5,71,2,6714569205380296791
0,时长那么长,0,70,2,6714686858204747476
0,王勉是个光头哈哈,0,72,6,6714692104859619577
0,代言人迪丽热巴 :第一第一,0,72,9,6714698260332136918
0,杨蒙恩加油，杨蒙恩最棒，杨蒙恩第一！,0,72,5,6714728268677229684
0,期待雪国列车列车,0,72,0,6714738653417380587
0,看看,0,71,0,6714763798403119680
0,代言人杨幂 :期待雪国列车列车,0,72,1,6714869886884540795
0,不,4,73,1,6715084564953802919
0,每一期都看的津津有味,0,70,2,6715097796237790623
0, 哈哈哈,0,73,2,6715901616778103223
0,7点47,0,71,1,6717248384786699991
0,这时长,0,71,0,6719621162918753176
0,李雪琴说的真好,0,74,0,6719965757065852244
0,a,0,70,0,6720918674073990680
0,蒙恩好高啊跟建国差不多,0,74,0,6723629751383652434
